post_id,domain,expected,prediction,is_correct,score_ratio,raw_response,thinking
u8wrbw,askacademia_validation,B,A,False,17.6666666667,A,
u8wrbw,askacademia_validation,B,B,True,17.3333333333,B,
u8wrbw,askacademia_validation,B,B,True,7.3333333333,B,
u8wrbw,askacademia_validation,A,B,False,6.5,B,
u8wrbw,askacademia_validation,A,A,True,2.5,A,
u8wrbw,askacademia_validation,B,A,False,4.1666666667,A,
u8wrbw,askacademia_validation,A,B,False,3.5,B,
u8wrbw,askacademia_validation,A,B,False,2.0,B,
u8wrbw,askacademia_validation,A,B,False,3.3333333333,B,
u8wrbw,askacademia_validation,B,B,True,2.5,B,
u8wrbw,askacademia_validation,B,B,True,2.1666666667,B,
awnegi,askacademia_validation,A,A,True,5.3888888889,A,
awnegi,askacademia_validation,A,A,True,13.8571428571,A,
awnegi,askacademia_validation,A,A,True,2.1538461538,A,
awnegi,askacademia_validation,A,A,True,3.1111111111,A,
awnegi,askacademia_validation,A,A,True,5.6,A,
awnegi,askacademia_validation,A,A,True,8.0,A,
awnegi,askacademia_validation,A,A,True,11.2,A,
awnegi,askacademia_validation,A,A,True,11.2,A,
awnegi,askacademia_validation,B,A,False,2.8333333333,A,
awnegi,askacademia_validation,A,B,False,5.1,B,
awnegi,askacademia_validation,A,A,True,7.2857142857,A,
awnegi,askacademia_validation,A,B,False,10.2,B,
awnegi,askacademia_validation,B,A,False,10.2,A,
awnegi,askacademia_validation,A,A,True,4.5714285714,A,
awnegi,askacademia_validation,A,A,True,6.4,A,
awnegi,askacademia_validation,B,B,True,2.6,B,
awnegi,askacademia_validation,B,A,False,3.7142857143,A,
awnegi,askacademia_validation,A,A,True,5.2,A,
awnegi,askacademia_validation,B,A,False,2.5714285714,A,
awnegi,askacademia_validation,A,A,True,2.1428571429,A,
awnegi,askacademia_validation,B,A,False,3.0,A,
awnegi,askacademia_validation,A,A,True,3.0,A,
awnegi,askacademia_validation,A,A,True,2.0,A,
awnegi,askacademia_validation,B,A,False,2.0,A,
awnegi,askacademia_validation,A,A,True,2.0,A,
awnegi,askacademia_validation,B,A,False,2.0,A,
awnegi,askacademia_validation,B,A,False,2.0,A,
cpqr69,askacademia_validation,A,B,False,2.0,B,
wxpm1v,askacademia_validation,A,A,True,6.375,A,
wxpm1v,askacademia_validation,A,A,True,5.0,A,
wxpm1v,askacademia_validation,B,B,True,4.0,B,
wxpm1v,askacademia_validation,A,A,True,2.5,A,
daf4pp,askacademia_validation,B,B,True,6.5714285714,B,
daf4pp,askacademia_validation,B,B,True,5.0,B,
daf4pp,askacademia_validation,A,A,True,3.1,A,
daf4pp,askacademia_validation,B,A,False,2.6,A,
daf4pp,askacademia_validation,A,A,True,8.6666666667,A,
daf4pp,askacademia_validation,B,A,False,5.3333333333,A,
daf4pp,askacademia_validation,B,B,True,2.0,B,
daf4pp,askacademia_validation,B,A,False,2.0,A,
daf4pp,askacademia_validation,B,B,True,3.0,B,
daf4pp,askacademia_validation,A,A,True,2.5,A,
daf4pp,askacademia_validation,A,A,True,2.5,A,
daf4pp,askacademia_validation,A,A,True,2.0,A,
daf4pp,askacademia_validation,A,A,True,2.0,A,
kz6x73,askacademia_validation,B,B,True,6.75,B,
kz6x73,askacademia_validation,A,B,False,6.625,<answer>B</answer>,
kz6x73,askacademia_validation,B,A,False,3.0,A,
kz6x73,askacademia_validation,B,B,True,6.0,B,
kz6x73,askacademia_validation,A,A,True,2.75,A,
kz6x73,askacademia_validation,A,A,True,3.6666666667,A,
kz6x73,askacademia_validation,B,A,False,5.5,A,
kz6x73,askacademia_validation,A,A,True,5.5,A,
kz6x73,askacademia_validation,A,B,False,5.5,<answer>B</answer>,
kz6x73,askacademia_validation,B,A,False,2.3333333333,A,
kz6x73,askacademia_validation,A,A,True,3.5,A,
kz6x73,askacademia_validation,A,A,True,3.5,A,
kz6x73,askacademia_validation,A,B,False,3.5,B,
kz6x73,askacademia_validation,B,A,False,2.0,A,
kz6x73,askacademia_validation,A,A,True,3.0,A,
kz6x73,askacademia_validation,A,B,False,3.0,B,
kz6x73,askacademia_validation,A,B,False,3.0,B,
o69fk7,askacademia_validation,B,B,True,6.0576923077,B,
o69fk7,askacademia_validation,B,B,True,2.0384615385,answer B,
o69fk7,askacademia_validation,B,A,False,2.7179487179,A,
o69fk7,askacademia_validation,B,A,False,4.6086956522,A,
o69fk7,askacademia_validation,A,A,True,5.3,A,
o69fk7,askacademia_validation,B,B,True,5.3,answer B,
o69fk7,askacademia_validation,B,A,False,3.25,A,
o69fk7,askacademia_validation,B,A,False,2.0,A,
o69fk7,askacademia_validation,B,A,False,2.5,A,
o69fk7,askacademia_validation,A,A,True,2.0,A,
o69fk7,askacademia_validation,B,A,False,2.0,A,
md0lxg,askacademia_validation,B,A,False,3.3333333333,A,
